Time (s),D Feed Flow (stream 2),E Feed Flow (stream 3),A Feed Flow (stream 1),A and C Feed Flow (stream 4),Compressor Recycle Valve,Purge Valve (stream 9),Separator Pot Liquid Flow (stream 10),Stripper Liquid Product Flow (stream 11),Stripper Steam Valve,Reactor Cooling Water Flow,Condenser Cooling Water Flow,Agitator Speed,A Feed (stream 1),D Feed (stream 2),E Feed (stream 3),A and C Feed (stream 4),Recycle Flow (stream 8),Reactor Feed Rate (stream 6),Reactor Pressure,Reactor Level,Reactor Temperature,Purge Rate (stream 9),Product Sep Temp,Product Sep Level,Prod Sep Pressure,Prod Sep Underflow (stream 10),Stripper Level,Stripper Pressure,Stripper Underflow (stream 11),Stripper Temperature,Stripper Steam Flow,Compressor Work,Reactor Cooling Water Outlet Temp,Separator Cooling Water Outlet Temp,Reactor Feed Component A,Reactor Feed Component B,Reactor Feed Component C,Reactor Feed Component D,Reactor Feed Component E,Reactor Feed Component F,Purge Gas Component A,Purge Gas Component B,Purge Gas Component C,Purge Gas Component D,Purge Gas Component E,Purge Gas Component F,Purge Gas Component G,Purge Gas Component H,Product Component D,Product Component E,Product Component F,Product Component G,Product Component H
3420,62.77,54.412,24.867,60.546,22.311,38.683,32.562,46.416,47.706,41.319,18.09,50.0,0.24991,3695.9,4520.2,9.3348,26.996,42.121,2707.6,75.548,120.4,0.32842,80.158,48.118,2636.7,25.503,49.949,3104.8,22.951,65.829,234.4,341.56,94.242,77.101,32.745,8.8951,26.067,6.688,18.669,1.6237,32.502,13.723,24.06,1.3423,18.358,2.24,4.91,2.2755,0.026676,0.84251,0.095266,54.023,43.523
3600,63.199,54.342,24.785,60.851,21.934,38.916,41.551,43.48,47.784,40.522,18.732,50.0,0.25075,3671.0,4526.1,9.393,26.705,42.327,2705.1,74.807,120.37,0.32651,79.927,51.173,2633.6,25.75,48.681,3102.9,22.69,65.819,234.3,341.52,94.715,77.015,32.745,8.8951,26.067,6.688,18.669,1.6237,32.502,13.723,24.06,1.3423,18.358,2.24,4.91,2.2755,0.026676,0.84251,0.095266,54.023,43.523
3780,63.335,54.477,18.652,62.634,22.424,39.122,39.138,44.603,48.071,42.095,18.659,50.0,0.18999,3754.9,4483.5,9.3114,27.238,42.287,2704.7,75.346,120.44,0.32514,79.925,50.353,2633.4,23.688,49.166,3100.8,22.721,65.752,232.28,341.83,94.499,77.221,31.989,8.7674,26.644,6.763,18.656,1.6442,32.872,13.829,24.495,1.1741,18.682,2.2445,4.7625,2.2882,0.021457,0.83876,0.089348,54.555,44.184
3960,64.203,54.052,18.59,63.787,21.923,38.713,35.683,44.528,47.948,41.211,19.368,50.0,0.19062,3704.5,4519.0,9.2065,26.747,42.769,2703.6,75.294,120.38,0.32849,80.091,49.179,2632.9,25.739,49.133,3101.3,22.411,65.761,234.63,341.17,94.519,77.508,31.989,8.7674,26.644,6.763,18.656,1.6442,32.872,13.829,24.495,1.1741,18.682,2.2445,4.7625,2.2882,0.021457,0.83876,0.089348,54.555,44.184
4140,63.951,54.293,25.831,59.439,21.803,40.203,38.479,43.035,48.039,41.442,18.227,50.0,0.25953,3689.5,4503.2,9.4562,27.081,42.364,2704.0,74.418,120.41,0.33897,80.158,50.129,2631.6,25.219,48.488,3102.9,22.903,65.821,234.52,340.57,94.441,77.052,32.321,8.6529,26.825,6.8489,18.717,1.6487,32.998,13.821,24.148,1.2993,19.071,2.2736,4.8331,2.3659,0.021457,0.83876,0.089348,54.555,44.184
4320,64.166,54.301,25.798,61.894,21.654,40.407,40.673,46.314,48.094,41.179,16.697,50.0,0.25986,3677.0,4502.5,9.317,26.896,42.59,2700.8,75.349,120.39,0.3373,79.842,50.874,2628.4,25.298,49.905,3100.1,23.561,65.811,234.85,340.42,94.544,77.022,32.321,8.6529,26.825,6.8489,18.717,1.6487,32.998,13.821,24.148,1.2993,19.071,2.2736,4.8331,2.3659,0.021457,0.83876,0.089348,54.555,44.184
4500,63.337,53.772,22.803,60.487,21.825,40.233,37.422,47.763,48.229,40.613,15.827,50.0,0.22667,3685.5,4535.5,9.2998,26.513,42.236,2701.3,74.602,120.38,0.33681,79.961,49.769,2630.3,24.374,50.531,3099.6,23.927,65.78,234.28,340.3,94.561,77.145,32.041,8.8377,26.397,6.8276,18.927,1.6678,32.723,13.828,24.153,1.2476,18.585,2.2655,4.876,2.3014,0.021457,0.83876,0.089348,54.555,44.184
4680,62.898,54.018,22.663,63.13,22.074,39.991,38.325,44.565,48.228,41.537,15.185,50.0,0.2281,3711.0,4515.0,9.3936,26.731,42.23,2701.1,75.072,120.4,0.33879,80.12,50.076,2629.9,26.136,49.149,3099.3,24.194,65.792,234.28,340.2,94.531,77.251,32.041,8.8377,26.397,6.8276,18.927,1.6678,32.723,13.828,24.153,1.2476,18.585,2.2655,4.876,2.3014,0.011886,0.8351,0.093089,53.254,43.425
4860,63.723,53.677,25.303,60.151,21.673,40.611,38.099,46.54,48.343,41.826,19.015,50.0,0.25567,3676.4,4499.7,9.3973,26.602,42.092,2702.2,75.353,120.4,0.33544,80.236,50.0,2630.5,24.379,50.003,3102.3,22.574,65.838,233.46,340.12,94.581,77.341,32.265,9.1295,26.606,7.0797,18.911,1.6375,32.986,13.998,24.043,1.284,18.342,2.2433,4.7686,2.3527,0.011886,0.8351,0.093089,53.254,43.425
5040,62.942,53.661,25.379,60.836,21.918,40.303,33.183,43.893,48.33,40.422,20.184,50.0,0.2549,3721.8,4501.0,9.3654,27.082,42.148,2703.3,75.299,120.36,0.33797,80.32,48.329,2631.6,24.237,48.859,3102.7,22.072,65.873,234.07,339.6,94.494,77.523,32.265,9.1295,26.606,7.0797,18.911,1.6375,32.986,13.998,24.043,1.284,18.342,2.2433,4.7686,2.3527,0.011886,0.8351,0.093089,53.254,43.425
5220,62.211,53.684,23.23,61.831,21.926,42.264,40.101,46.448,48.515,41.656,20.287,50.0,0.23404,3631.8,4500.4,9.472,27.163,42.25,2703.1,75.189,120.4,0.36009,80.371,50.68,2632.0,25.227,49.963,3101.5,22.02,65.912,232.44,339.94,94.596,77.612,32.064,9.0253,26.475,6.9288,19.178,1.6672,32.983,13.948,24.16,1.2828,18.832,2.2393,4.8733,2.2392,0.011886,0.8351,0.093089,53.254,43.425
5400,61.991,54.078,23.153,62.622,21.652,42.749,43.721,46.518,48.506,40.354,18.625,50.0,0.23483,3644.6,4467.6,9.3011,26.58,41.896,2703.5,74.968,120.37,0.35612,80.326,51.91,2631.5,25.224,49.993,3101.0,22.726,65.949,232.99,339.86,94.805,77.312,32.064,9.0253,26.475,6.9288,19.178,1.6672,32.983,13.948,24.16,1.2828,18.832,2.2393,4.8733,2.2392,0.011886,0.8351,0.093089,53.254,43.425
5580,63.106,53.638,25.292,63.014,21.873,42.199,43.234,43.936,48.529,41.246,19.837,50.0,0.25242,3650.0,4445.8,9.2851,27.283,42.263,2702.6,75.345,120.4,0.35147,80.144,51.745,2630.8,22.383,48.877,3101.1,22.23,65.935,232.14,340.28,94.695,77.021,31.799,8.9378,26.394,6.9565,19.085,1.7111,32.804,13.789,23.788,1.4273,18.885,2.2381,4.8227,2.2961,-0.002703,0.84689,0.083377,54.263,43.756
5760,62.835,53.035,25.252,62.26,22.231,42.149,41.071,44.679,48.151,40.316,19.273,50.0,0.25282,3665.7,4496.1,9.2418,27.256,42.291,2702.1,74.877,120.38,0.35189,80.021,51.009,2630.1,24.964,49.198,3099.3,22.468,65.889,236.44,340.29,94.747,77.256,31.799,8.9378,26.394,6.9565,19.085,1.7111,32.804,13.789,23.788,1.4273,18.885,2.2381,4.8227,2.2961,-0.002703,0.84689,0.083377,54.263,43.756
5940,63.028,53.625,27.77,61.581,21.618,39.827,37.523,44.462,48.533,41.255,18.722,50.0,0.28386,3637.1,4461.0,9.3036,26.699,42.318,2702.2,74.869,120.42,0.33672,79.899,49.804,2630.5,26.59,49.105,3101.1,22.705,65.837,232.23,340.59,94.716,77.389,31.969,8.7989,26.761,6.8851,18.833,1.6548,32.471,13.828,24.017,1.3271,18.606,2.3064,4.9044,2.4259,-0.002703,0.84689,0.083377,54.263,43.756
6120,62.727,53.376,27.763,61.247,22.18,39.98,36.58,47.09,48.381,40.681,18.024,50.0,0.28393,3654.6,4481.7,9.4626,26.881,41.949,2706.8,74.339,120.4,0.33546,80.229,49.483,2636.0,25.076,50.24,3104.0,22.991,65.818,234.01,340.96,94.615,77.537,31.969,8.7989,26.761,6.8851,18.833,1.6548,32.471,13.828,24.017,1.3271,18.606,2.3064,4.9044,2.4259,-0.002703,0.84689,0.083377,54.263,43.756
6300,62.596,53.618,26.643,60.628,22.357,40.212,36.604,46.532,48.322,41.316,18.956,50.0,0.26876,3696.4,4510.7,9.4172,26.913,41.871,2709.4,74.663,120.42,0.34197,80.272,49.492,2638.2,25.276,49.999,3105.8,22.588,65.868,234.69,341.42,94.663,77.594,32.476,8.83,26.856,6.7035,18.534,1.6623,32.156,13.75,24.361,1.227,18.62,2.2066,4.8401,2.3427,-0.002703,0.84689,0.083377,54.263,43.756
6480,63.09,53.771,26.513,60.673,22.219,41.042,38.704,48.995,48.569,41.022,19.012,50.0,0.27009,3667.8,4497.9,9.3715,27.003,42.234,2709.5,75.23,120.4,0.33517,80.275,50.205,2638.0,26.195,51.063,3107.3,22.564,65.909,235.41,341.37,94.473,77.473,32.476,8.83,26.856,6.7035,18.534,1.6623,32.156,13.75,24.361,1.227,18.62,2.2066,4.8401,2.3427,0.0093232,0.83434,0.092142,53.437,43.629
6660,64.01,54.046,21.726,61.243,22.161,39.45,37.681,45.396,48.794,41.402,19.512,50.0,0.21991,3711.7,4537.4,9.328,26.607,42.796,2708.4,74.905,120.43,0.3307,80.123,49.858,2637.6,25.045,49.508,3105.9,22.365,65.945,234.42,341.51,94.557,77.053,31.874,8.7766,26.802,6.7995,19.114,1.694,32.455,13.914,24.526,1.2012,18.447,2.2524,4.8923,2.303,0.0093232,0.83434,0.092142,53.437,43.629
6840,63.561,53.756,21.843,61.776,21.891,39.973,38.855,46.905,48.754,41.176,18.135,50.0,0.21872,3737.8,4561.6,9.3266,26.523,42.182,2707.3,74.737,120.41,0.32642,80.164,50.257,2635.9,24.145,50.16,3105.3,22.928,65.93,236.41,341.44,94.413,77.576,31.874,8.7766,26.802,6.7995,19.114,1.694,32.455,13.914,24.526,1.2012,18.447,2.2524,4.8923,2.303,0.0093232,0.83434,0.092142,53.437,43.629
7020,64.043,53.476,27.458,61.256,22.222,41.326,42.839,46.44,48.996,42.128,17.388,50.0,0.27843,3668.0,4465.4,9.2202,26.93,41.898,2707.4,74.742,120.41,0.3514,80.24,51.61,2636.4,24.558,49.96,3105.6,23.247,65.951,235.2,340.63,94.401,77.295,32.054,8.7757,26.379,6.9992,18.538,1.6377,32.764,13.62,24.039,1.347,18.932,2.2662,4.8543,2.345,0.0093232,0.83434,0.092142,53.437,43.629
7200,63.36,53.866,27.367,59.665,21.808,41.45,37.297,48.832,48.984,41.522,17.705,50.0,0.27935,3707.6,4432.8,9.4177,26.878,42.565,2705.5,75.114,120.41,0.35038,80.091,49.727,2633.8,25.562,50.993,3104.0,23.118,65.956,236.86,340.56,94.431,77.207,32.054,8.7757,26.379,6.9992,18.538,1.6377,32.764,13.62,24.039,1.347,18.932,2.2662,4.8543,2.345,0.0093232,0.83434,0.092142,53.437,43.629
7380,62.455,54.406,26.024,62.4,21.676,37.092,34.92,44.995,48.703,40.733,17.875,50.0,0.2628,3657.5,4505.1,9.3182,26.826,42.583,2704.4,75.121,120.39,0.32086,79.968,48.919,2632.0,26.342,49.335,3102.5,23.059,65.956,238.03,341.11,94.626,76.916,32.174,8.7867,26.543,6.9877,19.022,1.6876,33.222,13.78,24.172,1.2429,18.525,2.2415,4.9076,2.2518,0.033269,0.84565,0.098596,54.24,43.211
7560,62.707,54.474,25.905,62.086,22.474,37.759,40.418,45.588,48.75,41.045,18.997,50.0,0.264,3642.9,4499.4,9.3552,27.353,42.318,2705.4,75.232,120.41,0.3154,79.92,50.788,2633.8,25.701,49.591,3102.0,22.587,65.902,237.54,341.55,94.639,77.193,32.174,8.7867,26.543,6.9877,19.022,1.6876,33.222,13.78,24.172,1.2429,18.525,2.2415,4.9076,2.2518,0.033269,0.84565,0.098596,54.24,43.211
7740,62.735,53.462,24.923,61.271,22.446,39.58,39.482,45.512,48.937,40.113,15.048,50.0,0.25236,3641.0,4484.7,9.3327,27.129,42.311,2706.5,74.844,120.38,0.33403,80.003,50.47,2635.1,26.06,49.558,3103.6,24.246,65.885,235.48,341.24,94.678,77.368,32.026,9.0068,26.632,7.0643,18.737,1.6567,33.107,13.872,23.76,1.1748,18.444,2.2287,4.9475,2.2858,0.033269,0.84565,0.098596,54.24,43.211
7920,62.949,53.703,24.93,60.187,22.297,39.568,37.569,43.831,48.971,40.999,15.831,50.0,0.25228,3628.6,4464.6,9.4252,26.85,42.236,2709.2,73.551,120.42,0.33413,80.215,49.82,2638.6,24.993,48.832,3106.4,23.9,65.882,235.11,341.68,94.557,77.555,32.026,9.0068,26.632,7.0643,18.737,1.6567,33.107,13.872,23.76,1.1748,18.444,2.2287,4.9475,2.2858,0.033269,0.84565,0.098596,54.24,43.211
8100,61.782,53.906,26.412,61.819,22.267,40.385,33.632,44.863,48.966,40.57,19.782,50.0,0.2677,3649.4,4504.7,9.5683,26.836,42.535,2711.4,74.901,120.38,0.34764,80.317,48.482,2641.0,24.721,49.278,3107.7,22.228,65.947,235.13,341.63,94.712,77.584,31.995,8.9059,26.263,6.8706,18.809,1.669,33.097,13.903,23.916,1.2049,18.28,2.2563,4.8055,2.2324,0.033269,0.84565,0.098596,54.24,43.211
8280,62.177,54.233,26.443,61.364,22.352,41.696,40.2,45.928,49.038,41.213,16.755,50.0,0.26739,3626.5,4477.4,9.4484,27.074,42.294,2710.9,75.376,120.4,0.3369,80.038,50.713,2639.0,26.524,49.738,3106.9,23.523,65.982,237.62,341.94,94.712,77.073,31.995,8.9059,26.263,6.8706,18.809,1.669,33.097,13.903,23.916,1.2049,18.28,2.2563,4.8055,2.2324,0.036329,0.81707,0.088662,53.671,43.45
8460,62.968,53.872,26.674,61.77,22.493,41.43,37.17,47.183,49.358,41.058,17.46,50.0,0.2748,3674.5,4492.7,9.3551,26.582,42.295,2710.8,75.658,120.38,0.34681,79.849,49.684,2639.0,24.984,50.281,3106.8,23.227,65.931,235.51,342.7,94.644,77.279,32.484,8.9745,26.538,6.8237,18.624,1.6618,32.875,13.775,24.119,1.1232,18.398,2.2615,4.8111,2.309,0.036329,0.81707,0.088662,53.671,43.45
8640,63.431,54.161,27.056,61.682,22.36,41.149,36.748,46.115,49.41,41.252,16.91,50.0,0.27092,3647.6,4468.5,9.4471,26.755,42.262,2710.2,75.605,120.41,0.34912,79.767,49.541,2638.5,25.632,49.819,3106.8,23.466,65.837,236.45,342.36,94.654,77.235,32.484,8.9745,26.538,6.8237,18.624,1.6618,32.875,13.775,24.119,1.1232,18.398,2.2615,4.8111,2.309,0.036329,0.81707,0.088662,53.671,43.45
8820,63.578,54.152,22.367,60.186,22.526,39.763,41.321,45.433,49.171,41.443,18.653,50.0,0.22286,3664.9,4508.2,9.4202,27.009,42.6,2711.0,74.34,120.4,0.33249,79.843,51.095,2639.4,23.842,49.524,3106.4,22.734,65.842,240.62,342.83,94.447,77.26,32.056,8.9383,26.435,6.7633,18.461,1.6714,32.814,13.963,24.082,1.2136,18.173,2.2751,4.8083,2.2785,0.036329,0.81707,0.088662,53.671,43.45
9000,63.605,54.047,22.131,61.231,22.952,39.557,37.36,49.473,49.518,41.464,17.453,50.0,0.22526,3663.3,4516.9,9.5436,27.22,42.487,2712.7,75.385,120.42,0.33418,80.08,49.749,2642.1,27.395,51.27,3107.3,23.221,65.866,238.21,342.7,94.571,77.661,32.056,8.9383,26.435,6.7633,18.461,1.6714,32.814,13.963,24.082,1.2136,18.173,2.2751,4.8083,2.2785,0.036329,0.81707,0.088662,53.671,43.45
9180,63.182,54.244,25.963,61.997,22.552,42.074,37.363,44.33,48.934,41.697,20.854,50.0,0.26745,3723.6,4537.1,9.2822,26.938,42.45,2712.1,75.667,120.4,0.35536,80.136,49.75,2641.7,24.762,49.048,3108.3,21.795,65.952,237.9,342.21,94.395,77.216,32.459,9.0132,26.369,6.6365,18.765,1.6625,32.811,13.741,24.21,1.1484,17.932,2.2362,4.8108,2.3211,0.026115,0.82496,0.092497,54.195,43.924
9360,63.372,54.272,26.146,61.527,22.658,41.94,37.596,44.67,48.792,40.846,20.092,50.0,0.26559,3712.6,4534.7,9.4047,27.399,42.26,2710.6,74.731,120.41,0.35646,80.043,49.829,2639.5,25.066,49.195,3106.9,22.114,65.947,237.31,342.38,94.493,77.3,32.459,9.0132,26.369,6.6365,18.765,1.6625,32.811,13.741,24.21,1.1484,17.932,2.2362,4.8108,2.3211,0.026115,0.82496,0.092497,54.195,43.924
9540,64.025,53.791,22.366,60.515,22.332,39.512,39.18,48.973,48.807,41.9,19.853,50.0,0.22452,3749.2,4515.0,9.3597,26.741,42.261,2707.6,76.427,120.42,0.32808,79.845,50.367,2636.4,26.64,51.054,3104.0,22.228,65.893,235.0,342.4,94.358,77.016,32.259,8.9001,26.603,6.8346,18.804,1.6768,32.86,13.843,24.406,1.1596,18.586,2.2841,4.7966,2.2418,0.026115,0.82496,0.092497,54.195,43.924
9720,64.14,53.663,22.014,61.479,22.474,39.509,38.609,40.735,48.435,42.004,20.159,50.0,0.22809,3742.5,4525.7,9.4015,26.693,42.212,2706.4,76.035,120.38,0.3281,79.897,50.173,2635.4,26.321,47.494,3102.8,22.09,65.868,237.06,342.15,94.415,77.449,32.259,8.9001,26.603,6.8346,18.804,1.6768,32.86,13.843,24.406,1.1596,18.586,2.2841,4.7966,2.2418,0.026115,0.82496,0.092497,54.195,43.924
9900,63.397,53.82,23.892,61.791,22.661,40.344,38.269,45.242,48.569,41.769,18.68,50.0,0.24413,3692.7,4504.5,9.3796,27.384,42.066,2706.1,75.007,120.42,0.34324,80.032,50.057,2634.4,24.328,49.442,3102.8,22.715,65.843,233.45,341.55,94.388,77.35,32.305,8.8165,26.831,6.7835,18.477,1.651,33.032,13.756,24.389,1.1796,18.594,2.2219,4.8476,2.2721,0.026115,0.82496,0.092497,54.195,43.924
